,BHK,Rent,Size,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,floor,area
30,1.0,7500,350,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,Baghajatin
31,2.0,15000,900,Carpet Area,Kolkata,Unfurnished,Both,2.0,0,other
32,2.0,6000,550,Super Area,Kolkata,Semi-Furnished,Both,1.0,1,other
33,2.0,5000,500,Carpet Area,Kolkata,Unfurnished,Both,2.0,0,Baruipur
34,3.0,22000,1100,Carpet Area,Kolkata,Unfurnished,Both,1.0,2,other
35,2.0,15000,850,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,1,other
36,2.0,12500,800,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,2,Shyam Bazar
37,2.0,7000,630,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,0,Birati
38,2.0,21000,900,Carpet Area,Kolkata,Semi-Furnished,Bachelors,2.0,1,Bansdroni
39,1.0,10000,270,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,1,other
40,2.0,7200,630,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,0,Birati
41,3.0,12000,1500,Carpet Area,Kolkata,Furnished,Bachelors,2.0,0,other
42,1.0,5000,600,Super Area,Kolkata,Unfurnished,Both,1.0,2,Behala
43,2.0,8500,700,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,4,Baruipur
44,1.0,6000,300,Super Area,Kolkata,Semi-Furnished,Both,1.0,0,Ballygunge
45,2.0,10000,1300,Super Area,Kolkata,Semi-Furnished,Family,2.0,0,other
46,2.0,4600,400,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1.0,3,Behala
47,2.0,12000,650,Super Area,Kolkata,Unfurnished,Family,2.0,0,Baishnabghata Patuli Township
48,3.0,30000,2000,Super Area,Kolkata,Semi-Furnished,Both,2.0,0,Behala
49,3.0,15000,1068,Super Area,Kolkata,Semi-Furnished,Both,2.0,0,Bansdroni
50,1.0,7500,150,Super Area,Kolkata,Furnished,Both,1.0,1,Salt Lake City
51,1.0,7500,450,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,2,New Town
52,2.0,5000,800,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,Baruipur
53,2.0,15000,1000,Super Area,Kolkata,Unfurnished,Both,2.0,0,Bansdroni
54,2.0,11000,900,Super Area,Kolkata,Semi-Furnished,Bachelors,1.0,5,other
55,1.0,7000,600,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,Behala
56,2.0,6000,1200,Super Area,Kolkata,Unfurnished,Both,1.0,1,Hooghly-Chinsurah
57,2.0,6000,1200,Super Area,Kolkata,Semi-Furnished,Bachelors,2.0,2,Hooghly-Chinsurah
58,2.0,7000,650,Super Area,Kolkata,Semi-Furnished,Both,2.0,0,other
59,2.0,8500,720,Carpet Area,Kolkata,Semi-Furnished,Both,2.0,4,other
60,1.0,5000,300,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,1,Kasba
61,3.0,30000,1200,Carpet Area,Kolkata,Unfurnished,Both,3.0,0,other
62,2.0,10000,700,Carpet Area,Kolkata,Unfurnished,Both,2.0,6,other
63,3.0,30000,2000,Super Area,Kolkata,Semi-Furnished,Both,2.0,1,Naihati
64,1.0,3500,250,Super Area,Kolkata,Semi-Furnished,Both,1.0,0,other
65,2.0,8000,1100,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,0,Naihati
66,1.0,5000,300,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,Kasba
67,2.0,7500,600,Super Area,Kolkata,Semi-Furnished,Both,1.0,0,other
68,2.0,6500,800,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,other
69,1.0,7500,680,Super Area,Kolkata,Unfurnished,Both,1.0,1,Jadavpur
70,1.0,7500,680,Super Area,Kolkata,Unfurnished,Both,1.0,0,Jadavpur
71,2.0,16000,850,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1.0,1,Salt Lake City Sector 1
72,2.0,16000,850,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1.0,1,Salt Lake City Sector 1
73,2.0,6500,700,Super Area,Kolkata,Unfurnished,Bachelors,1.0,0,other
74,3.0,40000,1500,Super Area,Kolkata,Unfurnished,Both,2.0,0,other
75,2.0,12500,950,Super Area,Kolkata,Semi-Furnished,Both,2.0,1,other
76,2.0,5500,500,Super Area,Kolkata,Unfurnished,Both,1.0,0,Baishnabghata Patuli Township
77,1.0,5000,450,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,2,other
78,2.0,6500,700,Super Area,Kolkata,Unfurnished,Bachelors,1.0,0,Sonarpur
79,1.0,8000,500,Super Area,Kolkata,Unfurnished,Both,1.0,1,Lake Town
80,3.0,14500,1800,Super Area,Kolkata,Semi-Furnished,Both,2.0,0,Belghoria
81,1.0,8200,500,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,1,Rabindra Pally
82,2.0,15000,480,Carpet Area,Kolkata,Furnished,Both,2.0,0,other
83,4.5,20000,1000,Super Area,Kolkata,Semi-Furnished,Both,2.0,1,Sonarpur
84,2.0,6700,800,Super Area,Kolkata,Furnished,Both,1.0,1,other
85,1.0,10000,435,Super Area,Kolkata,Unfurnished,Both,1.0,2,Kasba
86,2.0,7000,700,Carpet Area,Kolkata,Semi-Furnished,Both,2.0,0,Dum Dum Metro
87,2.0,22000,800,Super Area,Kolkata,Furnished,Both,1.0,4,other
88,2.0,6500,450,Super Area,Kolkata,Unfurnished,Both,1.0,1,other
89,2.0,8500,550,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,2,other
90,2.0,18000,800,Carpet Area,Kolkata,Unfurnished,Bachelors,2.0,0,Salt Lake City
91,2.0,12000,550,Carpet Area,Kolkata,Semi-Furnished,Family,2.0,0,Baghajatin
92,1.0,9000,600,Super Area,Kolkata,Furnished,Both,1.0,2,Behala
93,1.0,6000,500,Super Area,Kolkata,Unfurnished,Both,1.0,0,New Garia
94,2.0,20000,1000,Super Area,Kolkata,Furnished,Both,2.0,1,other
95,1.0,5000,300,Carpet Area,Kolkata,Unfurnished,Both,1.0,1,Dum Dum Metro
96,2.0,12000,1200,Super Area,Kolkata,Furnished,Both,2.0,1,other
97,2.0,10000,500,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,3,Rabindra Pally
98,4.0,18000,1200,Super Area,Kolkata,Unfurnished,Family,2.0,1,other
99,2.0,15000,900,Carpet Area,Kolkata,Semi-Furnished,Both,2.0,1,Salt Lake City Sector 1
100,3.0,22000,1300,Carpet Area,Kolkata,Unfurnished,Both,3.0,0,Salt Lake City Sector 2
101,4.0,35000,1600,Carpet Area,Kolkata,Unfurnished,Both,3.0,1,Salt Lake City Sector 3
102,3.0,21000,1450,Super Area,Kolkata,Unfurnished,Family,2.0,0,other
103,2.0,25000,1100,Super Area,Kolkata,Furnished,Bachelors,2.0,2,other
104,2.0,67500,950,Carpet Area,Kolkata,Unfurnished,Both,2.0,0,other
105,1.0,6000,600,Carpet Area,Kolkata,Unfurnished,Both,1.0,6,other
106,2.0,14000,700,Carpet Area,Kolkata,Unfurnished,Both,2.0,0,other
107,3.0,8000,750,Super Area,Kolkata,Unfurnished,Family,1.0,0,Sakher Bazar
108,2.0,8000,1000,Super Area,Kolkata,Unfurnished,Both,1.0,0,other
109,1.0,6000,220,Super Area,Kolkata,Furnished,Both,1.0,0,other
110,1.0,8000,300,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1.0,1,other
111,1.0,6000,300,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,other
112,1.0,20000,700,Super Area,Kolkata,Semi-Furnished,Both,1.0,1,other
113,3.0,12000,800,Super Area,Kolkata,Unfurnished,Both,2.0,0,other
114,3.0,15000,1600,Super Area,Kolkata,Unfurnished,Both,2.0,1,Garia
115,2.0,14000,1000,Carpet Area,Kolkata,Unfurnished,Both,2.0,1,Kasba
116,1.0,5000,20,Super Area,Kolkata,Unfurnished,Both,1.0,2,other
117,2.0,7000,400,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,other
118,1.0,3900,200,Super Area,Kolkata,Furnished,Both,1.0,2,Shyam Bazar
119,3.0,14000,840,Carpet Area,Kolkata,Unfurnished,Bachelors,2.0,1,other
120,1.0,6300,300,Carpet Area,Kolkata,Unfurnished,Both,1.0,1,Salt Lake City Sector 5
121,2.0,13000,550,Carpet Area,Kolkata,Furnished,Both,2.0,1,Salt Lake City Sector 5
122,1.0,6800,300,Carpet Area,Kolkata,Unfurnished,Both,1.0,1,Salt Lake City Sector 5
123,2.0,8000,800,Super Area,Kolkata,Unfurnished,Both,2.0,1,Behala Chowrasta
124,2.0,10000,740,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,0,Sonarpur
125,2.0,18000,1300,Super Area,Kolkata,Unfurnished,Both,2.0,1,Santoshpur
126,2.0,8000,650,Super Area,Kolkata,Semi-Furnished,Both,1.0,0,Garia Station
127,2.0,8000,490,Super Area,Kolkata,Semi-Furnished,Both,1.0,1,other
128,1.0,4700,250,Super Area,Kolkata,Furnished,Both,1.0,2,Kaikhali
129,1.0,4700,250,Super Area,Kolkata,Furnished,Both,1.0,0,other
130,1.0,4500,450,Super Area,Kolkata,Unfurnished,Both,1.0,1,Rabindra Pally
131,1.0,6000,300,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,0,Salt Lake City Sector 1
132,2.0,16000,750,Super Area,Kolkata,Unfurnished,Both,2.0,1,other
133,1.0,4700,250,Super Area,Kolkata,Furnished,Both,1.0,1,Kaikhali
134,2.0,14000,751,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,3,Baghajatin
135,2.0,9000,900,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1.0,0,Lake Town
136,2.0,5000,400,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,1,Keshtopur
137,2.0,17500,1000,Carpet Area,Kolkata,Semi-Furnished,Both,2.0,0,Salt Lake City
138,2.0,8500,1000,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,other
139,3.0,15000,1500,Carpet Area,Kolkata,Semi-Furnished,Family,2.0,1,other
140,2.0,12500,750,Carpet Area,Kolkata,Unfurnished,Both,2.0,1,other
141,1.0,13000,1200,Super Area,Kolkata,Semi-Furnished,Both,1.0,2,Kasba
142,2.0,8000,700,Super Area,Kolkata,Unfurnished,Both,1.0,0,Sakher Bazar
143,2.0,8000,700,Carpet Area,Kolkata,Furnished,Both,1.0,4,other
144,2.0,8000,1000,Super Area,Kolkata,Semi-Furnished,Both,1.0,0,other
145,2.0,7000,1200,Super Area,Kolkata,Unfurnished,Both,2.0,1,other
146,2.0,2200,550,Super Area,Kolkata,Furnished,Both,1.0,2,other
147,2.0,8000,800,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,0,other
148,2.0,5500,280,Super Area,Kolkata,Unfurnished,Bachelors,1.0,1,other
149,3.0,20000,1100,Super Area,Kolkata,Unfurnished,Both,3.0,0,Thakurpukur
150,2.0,7000,950,Super Area,Kolkata,Unfurnished,Both,1.0,0,Kaikhali
151,1.0,3500,250,Super Area,Kolkata,Furnished,Both,1.0,1,other
152,2.0,5000,1000,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,0,other
153,3.0,20000,1000,Carpet Area,Kolkata,Semi-Furnished,Both,2.0,0,Salt Lake City Sector 1
154,2.0,7000,650,Super Area,Kolkata,Unfurnished,Both,1.0,0,Howrah
155,2.0,10000,700,Super Area,Kolkata,Unfurnished,Both,2.0,1,other
156,2.0,7000,700,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,0,Baguiati
157,3.0,12000,1000,Super Area,Kolkata,Semi-Furnished,Both,2.0,0,other
158,2.0,14500,900,Carpet Area,Kolkata,Unfurnished,Bachelors,2.0,1,other
159,1.0,6000,700,Super Area,Kolkata,Unfurnished,Both,1.0,1,other
160,2.0,9500,700,Super Area,Kolkata,Unfurnished,Both,2.0,1,Jadavpur
161,2.0,10000,450,Carpet Area,Kolkata,Semi-Furnished,Both,2.0,2,Behala
162,1.0,3500,120,Super Area,Kolkata,Unfurnished,Both,1.0,0,Dum Dum Cantonment
163,2.0,9000,800,Super Area,Kolkata,Semi-Furnished,Both,2.0,1,New Garia
164,3.0,40000,1220,Carpet Area,Kolkata,Unfurnished,Both,2.0,2,Salt Lake City Sector 3
165,3.0,16500,1100,Super Area,Kolkata,Unfurnished,Both,1.0,0,other
166,3.0,8000,700,Carpet Area,Kolkata,Unfurnished,Family,2.0,0,other
167,2.0,12000,800,Super Area,Kolkata,Furnished,Both,1.0,0,Santoshpur
168,2.0,6500,670,Super Area,Kolkata,Unfurnished,Family,1.0,2,other
169,4.0,40000,1300,Super Area,Kolkata,Unfurnished,Both,3.0,1,Ballygunge
170,1.0,5000,190,Super Area,Kolkata,Semi-Furnished,Both,1.0,0,Baguihati
171,2.0,9000,700,Super Area,Kolkata,Semi-Furnished,Both,1.0,0,other
172,1.0,7000,240,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,0,Jadavpur
173,2.0,18000,850,Carpet Area,Kolkata,Semi-Furnished,Family,1.0,2,Behala Chowrasta
174,1.0,9000,950,Super Area,Kolkata,Unfurnished,Both,2.0,1,other
175,1.0,5500,450,Carpet Area,Kolkata,Furnished,Both,1.0,1,other
176,2.0,7500,800,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,0,other
177,2.0,4000,600,Carpet Area,Kolkata,Unfurnished,Both,1.0,1,other
178,3.0,10500,800,Carpet Area,Kolkata,Unfurnished,Bachelors,2.0,2,other
179,3.0,15000,1100,Carpet Area,Kolkata,Unfurnished,Both,2.0,0,other
180,2.0,15000,800,Carpet Area,Kolkata,Furnished,Both,1.0,0,Baguiati
181,1.0,50000,2175,Super Area,Kolkata,Furnished,Both,3.0,2,other
182,2.0,12000,950,Carpet Area,Kolkata,Unfurnished,Bachelors,2.0,1,other
183,2.0,11000,550,Carpet Area,Kolkata,Unfurnished,Both,1.0,2,other
184,2.0,12000,1800,Carpet Area,Kolkata,Unfurnished,Bachelors,2.0,1,Birati
185,2.0,8000,1000,Super Area,Kolkata,Furnished,Both,1.0,0,other
186,2.0,18000,600,Super Area,Kolkata,Semi-Furnished,Both,2.0,0,other
187,2.0,8000,750,Carpet Area,Kolkata,Semi-Furnished,Both,2.0,2,other
188,2.0,7000,685,Super Area,Kolkata,Unfurnished,Both,1.0,2,Dum Dum Metro
189,1.0,6500,44,Carpet Area,Kolkata,Furnished,Both,1.0,0,Baranagar
190,4.0,13000,1200,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,Tollygunge
191,2.0,9000,500,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,0,other
192,4.0,10000,1110,Carpet Area,Kolkata,Unfurnished,Both,2.0,2,other
193,2.0,12000,1000,Super Area,Kolkata,Unfurnished,Both,2.0,1,Jadavpur
194,2.0,5000,392,Super Area,Kolkata,Unfurnished,Both,1.0,0,Jadavpur
195,2.0,6000,700,Super Area,Kolkata,Unfurnished,Both,1.0,1,other
196,1.0,5200,750,Super Area,Kolkata,Unfurnished,Both,1.0,2,Keshtopur
197,3.0,15000,1500,Super Area,Kolkata,Unfurnished,Family,2.0,1,other
198,2.0,9000,900,Super Area,Kolkata,Unfurnished,Both,2.0,0,Keshtopur
199,1.0,24000,710,Super Area,Kolkata,Furnished,Bachelors,1.0,1,Salt Lake City Sector 1
200,1.0,5500,400,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,other
201,1.0,10000,700,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,1,Garia
202,2.0,15000,1000,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,0,other
203,1.0,4700,250,Super Area,Kolkata,Furnished,Both,1.0,1,Kaikhali
204,1.0,5000,500,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,0,other
205,2.0,5000,450,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,2,Birati
206,3.0,15000,1400,Super Area,Kolkata,Unfurnished,Both,1.0,1,other
207,1.0,5000,500,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,1,other
208,2.0,6000,700,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,other
209,3.0,18000,1200,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,1,Salt Lake City Sector 1
210,2.0,8000,450,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,1,other
211,1.0,13000,500,Carpet Area,Kolkata,Furnished,Bachelors,1.0,2,Salt Lake City Sector 2
212,2.0,7500,400,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,other
213,3.0,12000,1000,Super Area,Kolkata,Unfurnished,Both,2.0,0,other
214,2.0,11000,750,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,0,other
215,1.0,6000,450,Super Area,Kolkata,Unfurnished,Family,1.0,0,Baghajatin
216,3.0,20000,1000,Carpet Area,Kolkata,Unfurnished,Bachelors,2.0,1,Salt Lake City Sector 3
217,2.0,7000,500,Carpet Area,Kolkata,Unfurnished,Bachelors,2.0,1,other
218,4.0,30000,1600,Carpet Area,Kolkata,Unfurnished,Bachelors,2.0,0,Salt Lake City Sector 3
219,2.0,7500,550,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,0,other
220,1.0,6500,550,Super Area,Kolkata,Unfurnished,Both,2.0,1,other
221,1.0,3000,200,Super Area,Kolkata,Unfurnished,Both,1.0,2,Barasat
222,2.0,5200,650,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,1,other
223,2.0,25000,1000,Super Area,Kolkata,Furnished,Both,2.0,1,other
224,2.0,12500,680,Carpet Area,Kolkata,Unfurnished,Both,2.0,0,Barrackpore
225,2.0,8500,720,Carpet Area,Kolkata,Unfurnished,Both,2.0,0,other
226,2.0,3500,500,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,4,other
227,2.0,7000,800,Super Area,Kolkata,Unfurnished,Both,1.0,0,other
228,1.0,3000,160,Super Area,Kolkata,Unfurnished,Both,1.0,0,other
229,2.0,14000,1200,Carpet Area,Kolkata,Unfurnished,Both,2.0,1,Salt Lake City Sector 5
230,1.0,18000,700,Super Area,Kolkata,Furnished,Both,1.0,0,Salt Lake City Sector 3
231,1.0,3500,1000,Super Area,Kolkata,Semi-Furnished,Both,1.0,0,Dum Dum Cantonment
232,2.0,16000,1250,Super Area,Kolkata,Unfurnished,Both,2.0,0,Kasba
233,4.0,35000,1600,Super Area,Kolkata,Unfurnished,Both,3.0,0,Salt Lake City
234,2.0,21000,700,Super Area,Kolkata,Semi-Furnished,Both,1.0,0,Lake Gardens
235,1.0,4500,450,Super Area,Kolkata,Unfurnished,Both,1.0,0,other
236,2.0,15000,839,Super Area,Kolkata,Semi-Furnished,Both,2.0,1,Howrah
237,1.0,4500,230,Super Area,Kolkata,Unfurnished,Both,1.0,0,Birati
238,1.0,5500,1800,Super Area,Kolkata,Unfurnished,Both,1.0,0,Baranagar
239,2.0,8500,800,Super Area,Kolkata,Unfurnished,Both,2.0,1,Baguihati
240,1.0,5000,500,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,0,other
241,2.0,8500,620,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,0,Kasba
242,2.0,9000,650,Carpet Area,Kolkata,Unfurnished,Both,1.0,2,other
243,1.0,7500,550,Super Area,Kolkata,Semi-Furnished,Both,1.0,1,other
244,2.0,7000,450,Carpet Area,Kolkata,Furnished,Bachelors,2.0,1,other
245,3.0,15000,1350,Carpet Area,Kolkata,Unfurnished,Family,2.0,1,other
246,2.0,7000,600,Super Area,Kolkata,Semi-Furnished,Both,2.0,2,other
247,3.0,10000,1200,Super Area,Kolkata,Furnished,Both,1.0,2,Belghoria
248,2.0,7000,700,Super Area,Kolkata,Unfurnished,Both,1.0,1,other
249,3.0,3200,800,Carpet Area,Kolkata,Furnished,Both,2.0,1,other
250,2.0,6000,600,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,0,Santoshpur
251,2.0,12000,900,Super Area,Kolkata,Unfurnished,Both,2.0,1,Tollygunge
252,2.0,6000,750,Super Area,Kolkata,Unfurnished,Both,1.0,0,Behala
253,3.0,10000,1250,Super Area,Kolkata,Unfurnished,Both,2.0,1,other
254,3.0,12000,1000,Super Area,Kolkata,Semi-Furnished,Both,3.0,2,other
255,2.0,8000,600,Super Area,Kolkata,Semi-Furnished,Both,1.0,0,Howrah
256,2.0,5300,650,Carpet Area,Kolkata,Unfurnished,Both,1.0,1,Sodepur
257,2.0,5000,450,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,2,other
258,3.0,8500,800,Super Area,Kolkata,Unfurnished,Both,2.0,0,other
259,3.0,22000,1000,Carpet Area,Kolkata,Semi-Furnished,Both,2.0,0,other
260,2.0,7000,1000,Super Area,Kolkata,Unfurnished,Both,1.0,0,other
261,3.0,25000,1400,Carpet Area,Kolkata,Furnished,Bachelors,3.0,5,Salt Lake City
262,2.0,7000,600,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1.0,1,Barrackpore
263,2.0,15000,723,Carpet Area,Kolkata,Furnished,Family,1.0,0,other
264,1.0,6000,320,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,other
265,2.0,8000,900,Super Area,Kolkata,Semi-Furnished,Both,1.0,0,Belghoria
266,3.0,40000,1400,Carpet Area,Kolkata,Furnished,Both,2.0,0,Salt Lake City Sector 2
267,1.0,6000,2160,Super Area,Kolkata,Semi-Furnished,Bachelors,1.0,1,Kasba
268,2.0,15000,650,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,0,other
269,2.0,6500,800,Super Area,Kolkata,Semi-Furnished,Both,1.0,1,other
270,3.0,8000,800,Super Area,Kolkata,Semi-Furnished,Both,1.0,2,Bansdroni
271,1.0,5500,500,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,Garia Station
272,3.0,9000,1700,Super Area,Kolkata,Semi-Furnished,Both,2.0,1,other
273,1.0,6000,130,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,0,other
274,1.0,15000,505,Super Area,Kolkata,Furnished,Both,1.0,0,Kasba
275,4.0,30000,2175,Super Area,Kolkata,Furnished,Both,3.0,0,Sakher Bazar
276,3.0,30000,1250,Super Area,Kolkata,Unfurnished,Both,2.0,0,other
277,1.0,5000,700,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,other
278,2.0,15000,900,Super Area,Kolkata,Unfurnished,Bachelors,1.0,0,other
279,1.0,6500,650,Super Area,Kolkata,Semi-Furnished,Both,1.0,1,Joka
280,2.0,4500,750,Super Area,Kolkata,Furnished,Both,1.0,0,other
281,2.0,7000,450,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,other
282,1.0,6500,350,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,1,other
283,1.0,17500,480,Carpet Area,Kolkata,Furnished,Bachelors,2.0,1,other
284,2.0,10000,900,Super Area,Kolkata,Unfurnished,Both,1.0,0,Garia
285,1.0,1500,200,Super Area,Kolkata,Semi-Furnished,Both,1.0,0,Santoshpur
286,3.0,25000,1100,Super Area,Kolkata,Unfurnished,Both,3.0,2,other
287,2.0,12000,800,Carpet Area,Kolkata,Unfurnished,Both,1.0,1,Kasba
288,3.0,7500,1000,Carpet Area,Kolkata,Furnished,Both,2.0,0,other
289,1.0,7000,800,Carpet Area,Kolkata,Unfurnished,Both,1.0,1,other
290,1.0,3500,200,Super Area,Kolkata,Semi-Furnished,Both,1.0,0,Baguihati
291,3.0,10000,1190,Carpet Area,Kolkata,Unfurnished,Both,2.0,1,other
292,2.0,14000,900,Carpet Area,Kolkata,Unfurnished,Bachelors,2.0,0,Salt Lake City
293,2.0,15000,1500,Super Area,Kolkata,Unfurnished,Both,2.0,0,Garia
294,2.0,6500,600,Super Area,Kolkata,Unfurnished,Both,1.0,2,Thakurpukur
295,3.0,10000,800,Super Area,Kolkata,Unfurnished,Both,1.0,0,other
296,2.0,10500,800,Carpet Area,Kolkata,Unfurnished,Family,2.0,1,Santoshpur
297,3.0,10000,900,Carpet Area,Kolkata,Semi-Furnished,Both,2.0,0,Garia
298,1.0,5000,350,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,0,other
299,2.0,9000,800,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,Sodepur
300,2.0,20000,1600,Carpet Area,Kolkata,Unfurnished,Bachelors,2.0,0,other
301,3.0,35000,1012,Carpet Area,Kolkata,Semi-Furnished,Both,2.0,2,Salt Lake City Sector 1
302,3.0,15000,1200,Carpet Area,Kolkata,Unfurnished,Bachelors,2.0,0,other
303,2.0,20000,700,Super Area,Kolkata,Furnished,Both,1.0,1,Salt Lake City Sector 1
304,2.0,12000,1000,Super Area,Kolkata,Semi-Furnished,Both,1.0,1,Behala
305,2.0,8000,800,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,0,Thakurpukur
306,1.0,3000,500,Super Area,Kolkata,Semi-Furnished,Both,1.0,0,other
307,3.0,20000,1200,Carpet Area,Kolkata,Semi-Furnished,Bachelors,2.0,0,other
